Overdose;
1;[intro]
9;J'ai réveillé ce matin, avec une idée en tête
11;Une chanson triste qui me fait regretter
13;D'aimer Philippe Katerine, mais sans écouter
15;Ses chansons tout le temps, c'est trop pour supporter
17;Aimer Katerine, mais ça peut faire mal
19;Ses mélodies folles me rendent totalement fou
21;Mais parfois j'ai besoin d'une pause, c'est vital
23;Pour ne pas me lasser de son style, c'est un tabou
25;[ … ]
29;Son humour décalé me fait rire aux éclats
31;Mais une overdose de Katerine, ça peut faire mal
33;J'ai besoin de diversité musicale, c'est un fait
35;Pour apprécier ses chansons sans les trouver banal
37;Aimer Katerine, mais ça peut faire mal
39;Ses mélodies folles me rendent totalement fou
41;Mais parfois j'ai besoin d'une pause, c'est vital
43;Pour ne pas me lasser de son style, c'est un tabou
45;[ solo ]
53;Aimer Katerine, mais sans overdose
55;C'est le secret pour garder la flamme qui explose
57;Chaque chanson est un bijou, une prose
59;Et je prendrais soin de ne pas tomber en overdose
61;[outro]
63;
