Déprime;
1;[intro]
9;I'm here, tears in my eyes,
11;Nothing's right, I'm feeling so down,
13;Every day, I feel lost,
15;But I've learned a lesson, that's true,
17;There's no use in trying if you don't believe,
19;You need to find faith to advance step by step,
21;The path will be tough, but never too long,
23;If we put our whole heart in it, our dreams will grow strong.
25;[...]
29;People say I'm a fool,
31;Living in a world of crazies,
33;But I still believe in my ideas,
35;Because I know someday they’ll be realized.
37;There's no use in trying if you don't believe,
39;You need to find faith to advance step by step,
41;Critics will never be able to stop us,
43;For our determination will only grow more robust.
45;[solo]
53;There's no use in trying if you don't believe,
55;You need to find faith to advance step by step,
57;The path will be tough, but never too long,
59;If we put our whole heart in it, our dreams will grow strong.
61;[outro]
63;
