J'ai pas fait exprès;
1;[intro]
9;Un matin, je t'ai croisée, sans faire attention
11;Tes yeux brillants, ta douce voix, mon cœur en fusion
13;Sans crier gare, tu m'as charmé, j'étais choqué
15;Mais je te jure, sur ma vie, j'ai rien planifié
17;Oh no no no, c'est pas du vrai, j'ai pas fait exprès
19;Mon coeur a glissé, j'suis tombé dans tes filets
21;Oh no no no, tu te méprends, j'ai pas voulu ça
23;C'est une question d'intention, désolé, je ne savais pas
25;[ … ]
29;A chaque fois qu'on se voit, c'est un véritable combat
31;Tes regards complices, tes sourires, je ne peux pas
33;Contrôler mes sentiments, ça va trop vite, c'est fou
35;Mais crois-moi, ma belle, j'le répète, je ne l'ai pas
37;Oh no no no, c'est pas du vrai, j'ai pas fait exprès
39;Mon coeur a glissé, j'suis tombé dans tes filets
41;Oh no no no, tu te méprends, j'ai pas voulu ça
43;C'est une question d'intention, désolé, je ne savais pas
45;[ solo ]
53;Alors, voilà ma confession, ma chanson t'avoue la vérité
55;J'ai pas fait exprès de tomber amoureux, il faut me croire
57;Maintenant, c'est à toi de décider si tu veux me pardonner
59;Mais sache que dans mon cœur brisé, tu resteras toujours dans l'histoire.
61;[outro]
63;
