Pas de mauvaise humeur;
1;[intro]
9;In this world where nothing's right,
11;Everyone's upset, ready to fight.
13;Each one thinks they've been betrayed,
15;Constantly, we're dismayed.
17;But I take it all in stride,
19;I prefer to laugh and hide.
21;Everyone has their way to cope,
23;For me, humor is the rope.
25;[ … ]
29;Words and actions, all offend,
31;We argue over things without end.
33;Everyone's sensitive, they see,
35;But I prefer to laugh with glee.
37;Cause I take it all in stride,
39;I prefer to laugh and hide.
41;Everyone has their way to cope,
43;For me, humor is the rope.
45;[ solo ]
53;So why get all worked up and stressed,
55;When we can just laugh and jest?
57;Each one finds a way to feel dismayed,
59;But I prefer to sing and be swayed.
61;[outro]
63;
