La recette de la fête;
1;[intro]
9;J'ai mis mon tablier, je suis prêt à m'amuser
11;Un peu de beurre, une pincée de gaieté
13;La poêle chante, les aliments dansent
15;Cuisiner devient ma douce romance
17;Dans ma cuisine, je m'évade
19;Les casseroles, ça me charade
21;Cuisiner, ça fait du bien à la tête
23;Une recette au goût de fête
25;[ … ]
29;J'ai sorti mes légumes, mon couteau agile
31;Sur ma planche à découper, je suis habile
33;Un zeste de citron, une pointe d'humour
35;La cuisine devient un jeu sans aucun détour
37;Dans ma cuisine, je m'évade
39;Les casseroles, ça me charade
41;Cuisiner, ça fait du bien à la tête
43;Une recette au goût de fête
45;[ solo ]
53;Dans ma cuisine, je m'évade
55;Les casseroles, ça me charade
57;Cuisiner, ça fait du bien à la tête
59;Une recette au goût de fête
61;[outro]
63;
