Le champion du cerveau;
1;[intro]
9;Dans le sport, c'est physique, qu'ils disent toujours
11;Mais moi, je sais que le mental a du pouvoir
13;Je suis un as, un génie, un cerveau en or
15;Je vais les impressionner, les rendre tous mordus
17;Je suis le champion du cerveau, yeah
19;Le sport mental est mon bateau, yeah
21;Dépasse les limites, je joue avec les faits
23;Le champion du cerveau, c'est moi, je le sais!
25;[ … ]
29;Les autres athlètes sont forts, je ne le nie pas
31;Mais moi, je les bats avec mon esprit de choix
33;La stratégie, la réflexion, sont mes armes
35;Je suis le maître des jeux, le roi de l'intellect, sans alarme
37;Je suis le champion du cerveau, yeah
39;Je gagne en jouant avec les mots, yeah
41;Déchiffre les énigmes, résous les problèmes
43;Le champion du cerveau, c'est moi, personne ne nous aime!
45;[ solo ]
53;Je suis le champion du cerveau, ouais!
55;Personne ne peut me battre, tout le monde le sait!
57;Avec ma tête, je suis invincible
59;Le champion du cerveau, yeah, incontestable!
61;[outro]
63;
