Mélo-colie;
1;[intro]
9;Un crayon à la main, j'écris mes soucis
11;Les feuilles volent au vent, comme mes envies
13;Des mots en cascade, pleins de fantaisie
15;Je dépose mes rêves, sans mélancolie
17;J'écris sur des blocs-notes, toujours en pensées
19;C'est ma façon drôle de tout dessiner
21;Les mots dansent sur le papier, en liberté
23;C'est ma mélodie, ma manière de m'exprimer
25;[ … ]
29;Des idées bizarres, j'en ai à foison
31;Sur les blocs-notes, je les mets en fusion
33;Des blagues farfelues, plein d'ironie
35;Mon esprit déborde, j'en perds le sourire
37;J'écris sur des blocs-notes, toujours en pensées
39;C'est ma façon drôle de tout dessiner
41;Les mots dansent sur le papier, en liberté
43;C'est ma mélodie, ma manière de m'exprimer
45;[ solo ]
53;J'écris sur des blocs-notes, toujours en pensées
55;C'est ma façon drôle de tout dessiner
57;Les mots dansent sur le papier, en liberté
59;C'est ma mélodie, ma manière de m'exprimer
61;[outro]
63;
