Le tambour;
1;[intro]
9;J'étais un gamin, plein d'espoir et de rêves,
11;À la ludothèque, je cherchais la trêve.
13;Et là j'ai trouvé, tel un trésor enfantin,
15;Un tambour en plastique, qui ferait mon destin.
17;Le tambour en plastique, mon ami de toujours,
19;Jouait des mélodies dans mon monde d'amour.
21;Au son de mes baguettes, les rires se mélangeaient,
23;Cette histoire d'enfance, jamais ne m'oublierai.
25;[ … ]
29;Je l'ai emporté, ce tambour fidèle,
31;Dans tous mes voyages, jusqu'au modèle.
33;Du métro bondé, aux ruelles de Paris,
35;Son bruit enchanté, me donnait la vie.
37;Le tambour en plastique, mon ami de toujours,
39;Jouait des mélodies dans mon monde d'amour.
41;Au son de mes baguettes, les rires se mélangeaient,
43;Cette histoire d'enfance, jamais ne m'oublierai.
45;[ solo ]
53;Alors je chante cette chanson, légère et douce,
55;Pour tous les bambins, qui gardent les étoiles en bouche.
57;Et peut-être un jour, un autre tambour deviendra,
59;Le symbole d'un rêve qui ne s'échappera pas.
61;[outro]
63;
