Mon joyeux bazar;
1;[intro]
9;J'ai des robots et des nounours, qui prennent toute la place
11;Des bibelots qui s'entassent, comme une véritable frénésie
13;Le bonheur dans le désordre, c'est ma philosophie
15;Dans mon joyeux bazar, l'ordre est une hérésie !
17;Dans mon joyeux bazar, y'a des trésors pêle-mêle
19;Des objets en pagaille qui font la joie de mes mirettes
21;Ma maison est un musée, une fête pour mon coeur
23;Dans mon joyeux bazar, je suis la reine de l'encombrement !
25;[ … ]
29;Les voisins me regardent bizarrement, pensant que je suis folle
31;Mais je m'en fiche, je suis déterminée à sauver chaque babiole
33;Des boîtes remplies de vieux souvenirs, tous plus précieux les uns que les autres
35;Dans mon joyeux bazar, je suis riche de mes trésors !
37;Dans mon joyeux bazar, y'a des trésors pêle-mêle
39;Des objets en pagaille qui font la joie de mes mirettes
41;Ma maison est un musée, une fête pour mon coeur
43;Dans mon joyeux bazar, je suis la reine de l'encombrement !
45;[ solo ]
53;Dans mon joyeux bazar, y'a des trésors pêle-mêle
55;Des objets en pagaille qui font la joie de mes mirettes
57;Ma maison est un musée, une fête pour mon coeur
59;Dans mon joyeux bazar, je suis la reine de l'encombrement !
61;[outro]
63;
