Le mauvais ordre;
1;[intro]
9;Dans ma vie, tout est organisé
11;Mais parfois, ça me fait chier
13;Les règles, les horaires, j'en peux plus
15;La monotonie, ça m'rend malheureux
17;Garder l'ordre est ennuyeux
19;J'ai juste envie de faire des bêtises, mon vieux
21;De me lâcher, de m'évader
23;Vivre ma vie sans me poser de questions
25;[ … ]
29;Tous les jours, je mets mon costume cravate
31;Mais je rêve d'être dans les starting-blocks
33;Faire le fou, être un peu déjanté
35;Sortir du cadre, me libérer
37;Garder l'ordre est ennuyeux
39;J'ai juste envie de faire des bêtises, mon vieux
41;De me lâcher, de m'évader
43;Vivre ma vie sans me poser de questions
45;[ solo ]
53;La vie est trop courte pour s'ennuyer
55;Alors je vais profiter, m'amuser
57;Car garder l'ordre, ça peut bien attendre
59;Aujourd'hui, je veux juste vivre et me détendre
61;[outro]
63;
