Le chanteur rigolo;
1;[intro]
9;Here I am, on stage, with my mic in hand
11;My mission is to spread joy, with each refrain so grand
13;But today, my friends, I can't play the clown
15;My heart is heavy, filled with sorrows and doubts all around
17;I’m a funny singer doing pop songs
19;But today I’m sad, searching where I belong
21;There's no sense to seek, I truly know
23;Life is sometimes absurd, we can't escape the flow
25;[ … ]
29;I've always been told not to take life too seriously
31;But how to cope when clouds darken my sky so clearly?
33;I’d like to shed my clown suit and have a good cry
35;But I know music can calm my heart that's in disarray
37;I’m a funny singer doing pop songs
39;But today I’m sad, searching where I belong
41;There's no sense to seek, I truly know
43;Life is sometimes absurd, we can't escape the flow
45;[ solo ]
53;I’m a funny singer doing pop songs
55;But today I’m sad, searching where I belong
57;There’s no big theory to infer
59;Just accept that sometimes, life is really a joker, yeah
61;[outro]
63;
