Les choses moches;
1;[intro]
9;Dans la rue je suis tombé sur une chaussette trouée
11;Elle dansait sur le trottoir, elle était pas gênée
13;J'ai trouvé ça rigolo, je me suis mis à rire
15;Une chaussette sans paire, ça peut très bien s'en sortir
17;Les choses moches, mais cools, ça existe vraiment
19;Un truc banal, ça peut devenir dément
21;Un bouton sur un nez, ça peut être la classe
23;Les bizarreries, ça nous dépasse
25;[ … ]
29;Un chat avec un chapeau, ça fait vraiment stylé
31;Il se promène dans la rue, tout le monde s'arrête pour admirer
33;Les gens prennent des selfies, avec lui en vedette
35;Qui aurait cru que la mode féline serait aussi chouette?
37;Les choses moches, mais cools, ça existe vraiment
39;Un truc banal, ça peut devenir dément
41;Un sourire bancal, ça peut charmer les foules
43;Les bizarreries, c'est la clé qui nous rend cool
45;[ solo ]
53;Les choses moches, mais cools, ça existe vraiment
55;Un truc banal, ça peut devenir dément
57;La laideur, c'est une question de point de vue
59;Avec un peu de fantaisie, elle peut être géniale, tu vois
61;[outro]
63;
