Sans Instrument;;
1;[intro];
9;I never learned to play guitar;
11;My fingers fumble, it's quite bizarre;
13;The drums are a mystery to me;
15;My rhythms fail, you laugh in glee;
17;I'm a funny singer without much flair;
19;No instrument makes me a star, I swear;
21;My songs are sad yet full of life;
23;I try to make you laugh, cut through the strife;
25;[ … ];
29;The flute drives me up the wall;
31;Sometimes I blow loud, sometimes too small;
33;The piano, oh! I only hit wrong notes;
35;But it won't stop me from trying my notes;
37;I'm a funny singer without much flair;
39;No instrument makes me a star, I swear;
41;My songs are sad yet full of life;
43;I try to make you laugh, cut through the strife;
45;[ solo ];
53;Forget the virtuosos with their mastery;
55;Come have fun with me, I’ll make you see;
57;For without instruments, I can assure;
59;A unique show, funny and pure.;
61;[outro];
63;;
