Ma seule prière;
1;[intro]
9;I’m bored with life, I need some energy
11;Need a song that will make me happy
13;I'm tired of sadness, tears, and worry
15;I want a hit that will help me grow quickly
17;Popular, I want to be in the air
19;Dance, sing, have fun without a care
21;Popular, I'll be the fleeting star
23;Making people laugh, that's my only prayer
25;[ … ]
29;I put on my flashy outfit, I shine bright
31;Ready to reveal my talent, without a goodnight
33;My show begins, the crowd goes wild
35;We'll swing and laugh, everyone’s beguiled
37;Popular, I want to be in the air
39;Dance, sing, have fun without a care
41;Popular, I'll be the fleeting star
43;Making people laugh, that's my only prayer
45;[ solo ]
53;Popular, I want to be in the air
55;Dance, sing, have fun without a care
57;Popular, I'll be the fleeting star
59;Making people laugh, that's my only prayer
61;[outro]
63;
