Je suis accro;
1;[intro]
9;I light up, I breathe, I feel the bliss
11;The cigarette ignites my distress
13;My lungs burn, but I don’t care
15;Tobacco is my love affair
17;I smoked my last pack in thirty minutes
19;It's a tragedy, a forbidden script
21;Nicotine gives me chills
23;In my life, smoke has taken the thrills
25;[ … ]
29;I’m addicted, I can't stop
31;The smokes dictate my lot
33;My fingers yellowed, my mouth of ash
35;I'm a prisoner of this fatal chain
37;I smoked my last pack in thirty minutes
39;It's a tragedy, a forbidden script
41;Nicotine gives me chills
43;In my life, smoke has taken the thrills
45;[ solo ]
53;I smoked my last pack in thirty minutes
55;But now I choose to end this hell
57;I'll breathe fresh air, reclaim my liberty
59;Goodbye cigarette, I turn the page, I'm finally free
61;[outro]
63;
