J'aime bien Joe Dassin;
1;[intro]
9;Tous les jours, je me réveille, je me prépare
11;Je mets un disque de Joe Dassin dans ma salle de bain
13;Ses chansons, ça me fait dandiner, ça me fait vibrer
15;J'aime bien Joe Dassin, mon p'tit plaisir quotidien
17;Joe Dassin, mec cool et malin
19;Sa voix me fait danser, me met en extase
21;J'aime bien Joe Dassin, c'est mon crush du matin
23;Avec lui, dans mes rêves, je m'évade dans l'espace
25;[ … ]
29;Je fredonne ses mélodies en marchant dans la rue
31;Les gens me regardent bizarrement, mais je m'en fous
33;Joe Dassin, tu illumines mes journées, mes nuits
35;Avec toi, la vie est douce, même quand tout va de travers
37;Joe Dassin, glisse sur la piste, comme un vrai magicien
39;Il met le feu à mon corps, je suis sa fan inconditionnelle
41;J'aime bien Joe Dassin, mon super-héros kitch et malin
43;Les soucis s'envolent, il me rend légère comme une hirondelle
45;[ solo ]
53;Joe Dassin, mec cool et malin
55;Sa voix me fait danser, me met en extase
57;J'aime bien Joe Dassin, c'est mon crush du matin
59;Avec lui, dans mes rêves, je m'évade dans l'espace
61;[outro]
63;
