L'ambiguïté;
1;[intro]
9;In my life, everything's a blur
11;I like playing the jester
13;Am I man or am I woman?
15;A mystery, a great question
17;I like ambiguity
19;It's my dose of liberty
21;In this world full of norms
23;I break away from all forms
25;[ … ]
29;I'm an original
31;Without borders, no ideal
33;I thrive in difference
35;It makes me an existence
37;I like ambiguity
39;It's my dose of liberty
41;On stage, I go wild
43;And show my pride with style
45;[ solo ]
53;I like ambiguity
55;It's my dose of liberty
57;In my song, both sad and light
59;I celebrate love that's right
61;[outro]
63;
