Lasagnes Végétariennes;
1;[intro]
9;I open my fridge, full of colorful greens
11;Zucchini, spinach, we'll feast like kings and queens!
13;I chop the onions, tomatoes in a dice
15;In my kitchen, fun and flavor will suffice!
17;I love to cook lasagna with a crispy crust
19;Without meat, it's my secret, it's a must!
21;Veggies and cheese, a dish so bright
23;My veggie lasagna, I'll eat every bite!
25;[ … ]
29;I simmer my veggies in a pan with care
31;With herbs and garlic, it's a flavorful affair!
33;I prepare my béchamel, smooth and creamy
35;My plate will be full, an explosion of harmony!
37;I love to cook lasagna with a crispy crust
39;Without meat, it's my secret, it's a must!
41;Veggies and cheese, a dish so bright
43;My veggie lasagna, I'll eat every bite!
45;[ solo ]
53;So if you want to feast without the meat
55;Veggie lasagna is a treat so neat!
57;Come to my kitchen, let's have a ball
59;We'll feast together, one and all!
61;[outro]
63;
