L'Art pour les nuls;
1;[intro]
9;Je ne comprends rien à l'art contemporain
11;Des bouts de plastique, ça me donne des migraines
13;Je veux du bon vieux Van Gogh, c'est pas sorcier
15;Des fleurs, des étoiles, rien de compliqué
17;J'aime l'art accessible, pas confus
19;Pas besoin d'être un génie, c'est évident, c'est plus fun
21;Une chanson triste, mais pas trop sérieuse
23;L'art pour tous, c'est ça que j'use
25;[ … ]
29;Dans les musées, je me sens perdu
31;Les œuvres abstraites, c'est vraiment tordu
33;Je préfère les caricatures et les BD
35;Des couleurs, de l'humour, ça me fait rire, ça me plaît
37;J'aime l'art accessible, pas confus
39;Pas besoin d'être un génie, c'est évident, c'est plus fun
41;Une chanson triste, mais pas trop sérieuse
43;L'art pour tous, c'est ça que j'use
45;[ solo ]
53;J'aime l'art accessible, pas confus
55;Pas besoin d'être un génie, c'est évident, c'est plus fun
57;Une chanson triste, mais pas trop sérieuse
59;L'art pour tous, c'est ça que j'use
61;[outro]
63;
