Amour d'objets;
1;[intro]
9;Dans ma chambre, c'est un musée
11;Des bibelots partout, je suis comblé
13;Des figurines, des vieux jouets
15;Mes objets chéris me font vibrer
17;J'aime les objets, c'est ma passion
19;Je les collectionne, c'est ma chanson
21;Tableaux, gadgets, rien ne me rend jaloux
23;Mon amour d'objets, c'est pour toujours
25;[ … ]
29;Sur mon étagère, trône un buste
31;Un vase ancien, plein de poussière et de ruste
33;Mes amis disent que je suis fou
35;Mais mon amour d'objets me rend si fou
37;J'aime les objets, c'est ma passion
39;Je les collectionne, c'est ma chanson
41;Tableaux, gadgets, rien ne me rend jaloux
43;Mon amour d'objets, c'est pour toujours
45;[ solo ]
53;J'aime les objets, c'est ma passion
55;Je les collectionne, c'est ma chanson
57;Tableaux, gadgets, rien ne me rend jaloux
59;Mon amour d'objets, c'est pour toujours
61;[outro]
63;
