Danser avec les regards;
1;[intro]
9;Dans la rue, je m'installe à une terrasse
11;Je vois des amoureux, des amis qui tracent
13;Leurs yeux se croisent, c'est comme une romance
15;Je m'imagine leur vie, dans ma transe
17;Danser avec les regards, c'est mon passe-temps
19;Observer les gens, c'est un enchantement
21;Je me perds dans leurs histoires, pleines de tourments
23;Danser avec les regards, c'est mon divertissement
25;[ … ]
29;Au café, je vois une femme au visage marqué
31;Elle cache ses larmes, elle est désabusée
33;Son regard triste, me rend un peu chamboulé
35;Je me demande si je peux l'aider, uhm..
37;Danser avec les regards, c'est mon passe-temps
39;Observer les gens, c'est un enchantement
41;Je me perds dans leurs histoires, pleines de tourments
43;Danser avec les regards, c'est mon divertissement
45;[ solo ]
53;Dans la foule, je me sens libre comme l'air
55;Danser avec les regards, c'est un mystère
57;Je suis le témoin silencieux de la vie éphémère
59;Danser avec les regards, c'est mon univers.
61;[outro]
63;
