Les gens chez Casa;
1;[intro]
9;Y'a des murs en faux briques, c'est kitsch à souhait
11;Mais moi ça m'rend malade, j'ai l'estomac tout en paix
13;Ils pensent que c'est exotique, mais moi j'en ris
15;Car la vraie cuisine, c'est pas ça, c'est un mépris
17;J'aime pas les gens qui vont chez Casa
19;C'est un truc qui me rend tout bas
21;Avec leur viande et leur salsa
23;J'ai pas besoin de ça, ah !
25;[ … ]
29;Les serveurs portent des sombreros, tu vois ça ?
31;Pour moi, c'est une insulte aux traditions mexica
33;Ils croient que c'est authentique, mais c'est qu'du show
35;Moi je préfère un bon bistro, pour de vrai, pas de chichis
37;J'aime pas les gens qui vont chez Casa
39;C'est un truc qui me rend tout bas
41;Avec leur viande et leur salsa
43;J'ai pas besoin de ça, ah !
45;[ solo ]
53;J'aime pas les gens qui vont chez Casa
55;C'est un truc qui me rend tout bas
57;Avec leur viande et leur salsa
59;J'ai pas besoin de ça, ah !
61;[outro]
63;
