Le trac;
1;[intro]
9;When I was young, at school it began
11;Facing the class, my heart would pound
13;Trembling legs, sweaty hands, all I ran
15;Stage fright engulfed me, couldn't think or sound
17;I've always had a lot of stage fright
19;It makes me panic, makes me blurred, makes me tight
21;Stage fright follows me, it's my constant friend
23;But I'll face it, make it my song in the end
25;[ … ]
29;Later on stage, it was even worse
31;Eyes fixed on me, I lost my verse
33;But I decided not to let stage fright immerse
35;I'll transform it, make it my show, my rehearse
37;I've always had a lot of stage fright
39;It makes me panic, makes me blurred, makes me tight
41;Stage fright follows me, it's my constant friend
43;But I'll face it, make it my song in the end
45;[ solo ]
53;Yes, stage fright is here, but I'll move on
55;On stage, I'll give my all, have my fun
57;The audience will laugh, sing along with me
59;Because this song, my stage fright, sets me free
61;[outro]
63;
