Les Yeux dans le Vague;
1;[intro]
9;Sitting in my world, lost in dreams
11;Eyes in the distance, my gaze beams
13;I go on a journey, through imagination
15;Forgetting thus my whole situation
17;Eyes in the distance, I stray
19;Lost in thoughts, in a peculiar way
21;A distant expression, a unique part
23;Eyes in the distance, it's my state of art
25;[ … ]
29;People look at me with surprise
31;They don't understand my detachment, my disguise
33;But in my world, I feel so free
35;Creating my own reality, it's where I glee
37;Eyes in the distance, I stray
39;Lost in thoughts, in a peculiar way
41;A distant expression, a unique part
43;Eyes in the distance, it's my state of art
45;[ solo ]
53;So follow my steps, let yourself be carried
55;In the world of distant eyes, where we get married
57;Don't take it all seriously, be quirky and brave
59;Eyes in the distance, always ready to crave.
61;[outro]
63;
