Mémoire visuelle;
1;[intro]
9;Dans ma tête, un film se déroule,
11;Des images qui me font frissonner,
13;Une mémoire visuelle, c'est tout un casse-tête,
15;Je suis un vrai caméraman, sans arrêt à filmer.
17;J'ai une mémoire visuelle, c'est pas banal,
19;Je retiens tout dans mon cinéma mental,
21;Les souvenirs défiler, c'est presque magique,
23;Mais ça peut parfois m'emmener dans des situations comiques.
25;[ … ]
29;Je me souviens de ce jour, avec ma bande de potes,
31;On était jeunes, insouciants, un peu idiots,
33;On a fait une bêtise, c'était vraiment drôle,
35;Mais moi seul peut encore voir ce film rigolo.
37;J'ai une mémoire visuelle, je fais des merveilles,
39;Je peux revivre chaque instant, je suis tellement habile,
41;Mais parfois ça me joue des tours, ça me lâche pas,
43;Je revois des erreurs, des moments gênants, ça m'embarrasse déjà.
45;[ solo ]
53;J'ai une mémoire visuelle, c'est pas toujours facile,
55;Mais je suis un conteur, un réalisateur habile,
57;Je vous emmène dans mon cinéma permanent,
59;Bienvenue dans ma tête, dans mon univers fascinant.
61;[outro]
63;
