Pas besoin de virtuosité;
1;[intro]
9;Dans mon enfance, j'étais nul en solfège
11;Les notes, les gammes, ça m'faisait comme une allergie
13;Mais j'avais en moi cette envie, ce privilège
15;De m'évader avec ma voix, sans me soucier des accords, des harmonies
17;Je suis pas un prodige, c'est clair
19;Pas besoin de virtuosité pour plaire
21;La musique, c'est juste mon aire
23;Jouer, chanter, me faire plaisir
25;[ … ]
29;J'ai jamais su jouer d'aucun instrument
31;La guitare, le piano, c'est pas mon talent
33;Mais avec ma voix, je fais des miracles
35;J'te transporte dans un monde magique, sans artifices
37;Je suis pas un prodige, c'est clair
39;Pas besoin de virtuosité pour plaire
41;La musique, c'est juste mon aire
43;Jouer, chanter, me faire plaisir
45;[ solo ]
53;Je suis pas un prodige, c'est clair
55;Pas besoin de virtuosité pour plaire
57;La musique, c'est juste mon aire
59;Jouer, chanter, me faire plaisir
61;[outro]
63;
