Stop les clowns;
1;[intro]
9;Un nez rouge, des chaussures géantes
11;Ils font des blagues pas très marrantes
13;Leur maquillage est bien trop épais
15;Les clowns, j'en peux plus, c'est assez
17;Je n'aime pas trop les clowns
19;Avec leurs sourires qui sonnent faux
21;Ils me donnent des frissons
23;Les clowns, ça me fout les jetons
25;[ … ]
29;Ils jonglent avec des balles colorées
31;Mais moi, ça ne me fait pas rigoler
33;Leurs grimaces me donnent des frissons
35;Les clowns, quelle drôle d'invention
37;Je n'aime pas trop les clowns
39;Avec leurs farces qui tombent à plat
41;Ils veulent faire rire, mais moi j'ai peur
43;Les clowns, c'est pas mon heure
45;[ solo ]
53;Mais je sais bien que certains les adorent
55;Les clowns, ça fait rire, et ça divertit le corps
57;Alors, je respecte leur art, même si c'est pas pour moi
59;Mais j'espère qu'un jour, je trouverai ça drôle, pourquoi pas ?
61;[outro]
63;
