Caché sous les coutures;
1;[intro]
9;I feel so strange in my skin
11;When my seams show, it makes my head spin
13;I hide my flaws, it always stings a bit
15;But I am who I am, whether known or hid
17;Hidden under the seams, I am a mystery
19;But deep down, I'm me, with fleeting frailty
21;People judge me, criticize, but I don't care
23;I'm free, I'm me, and that, I declare
25;[ … ]
29;In this perfect world, I'm a bit offbeat
31;I prefer little sparks of madness, the hidden sides, sweet
33;Life's too short to be taken seriously
35;So I dance, I laugh, and I let go freely
37;Hidden under the seams, I am a mystery
39;But deep down, I'm me, with fleeting frailty
41;People judge me, criticize, but I don't mind
43;I'm free, I'm me, that's my wealth, refined
45;[ solo ]
53;So let me shine, despite the visible seams
55;I'm a star, unique in this wild galaxy, it seems
57;And if you want to join me, in this world of glee
59;Come along, hide under your own sketched seams with me
61;[ outro ]
63;
