Le rangement à la Hollywood;
1;[intro]
9;I'm the king of disorder, nothing better
11;At home, it's a mess, but I love the clutter
13;But as soon as I step outside, I become
15;One of those funny actors, who seem so awesome
17;In my life, everything's a film
19;I arrange things in my own style
21;But in Hollywood, it's not the same, don't worry
23;'Cause in their movies, everything's so orderly
25;[ … ]
29;The scripts of my life are quite insane
31;I do stunts and tricks, outside the main
33;Laughter is my favorite line, you see
35;The comic hero, never ordinary
37;In my life, everything's a film
39;I arrange things in my own style
41;But in Hollywood, it's not the same, don't worry
43;'Cause in their movies, everything's so orderly
45;[ solo ]
53;In my life, everything's a film
55;I arrange things in my own style
57;But in Hollywood, it's not the same, don't worry
59;'Cause in their movies, everything's so orderly (Hey!)
61;[ outro ]
63;
