Le grand saut;
1;[intro]
9;I've decided to take the big leap,
11;Drown my fears, break the tight grip.
13;I want to live unencumbered,
15;By all these barriers to be surrendered.
17;I set fire to my routines,
19;Weave my web in the unknown scenes.
21;No limits, I'm bursting with energy,
23;I'm ready to live my life carefree.
25;[ … ]
29;All these doubts that paralyze me,
31;I chase them away, put them in history.
33;I give myself the chance to bloom,
35;In this world that loves to consume.
37;I set fire to my routines,
39;Weave my web in the unknown scenes.
41;No limits, I'm bursting with energy,
43;I'm ready to live my life carefree.
45;[ solo ]
53;I set fire to my routines,
55;Weave my web in the unknown scenes.
57;No limits, I'm bursting with energy,
59;I'm ready to live my life carefree.
61;[outro]
63;
