Esclave de mon téléphone;
1;[intro]
9;Mon téléphone, ma passion
11;Je ne peux pas m'en passer, c'est ma raison
13;Je suis accro à cet écran lumineux
15;Je suis prêt à décrocher n'importe quoi, même les cieux
17;Accro à mon téléphone, j'oublie tout le reste
19;Je suis coincé dans cet univers funeste
21;Je swipe à droite, je swipe à gauche
23;Mais je réalise que ma vie se cloche
25;[ … ]
29;Mes amis me parlent, je les ignore
31;Mon téléphone est devenu mon trésor
33;Je préfère les emojis aux vrais sourires
35;Mais je me sens vide, enfermé dans un empire
37;Accro à mon téléphone, j'oublie tout le reste
39;Je suis coincé dans cet univers funeste
41;Je like, je commente, je partage mes pensées
43;Mais je réalise que ma vie s'efface, désolé
45;[ solo ]
53;Adieu mon téléphone, je retrouve ma liberté
55;Je m'envole vers de nouveaux côtés
57;Je profite des instants sans filtres ni likes
59;La vraie vie est belle, je l'ai enfin compris.
61;[outro]
63;
