J'suis le pigeon des opinions;
1;[intro]
9;"They tell me ""it's true,"" I believe without hesitation"
11;I'm naive, need no explanation
13;Like a puppet, I'm manipulated
15;Others play, I'm the one who’s played
17;I'm the fool of opinions
19;Manipulated without conditions
21;Easily convinced, no suspicion
23;A real sheep, I follow without reflection
25;[ … ]
29;"They tell me ""vote for me,"" I do without thought"
31;"They tell me ""buy this,"" easily caught"
33;I'm influenceable, without resistance
35;I just follow, without any conscience
37;I'm the fool of opinions
39;Tricked without precautions
41;I walk straight, without conditions
43;Everything they say, I take as gold
45;[ solo ]
53;I'm the fool of opinions
55;Manipulated without conditions
57;Easily convinced, no suspicion
59;A real sheep, I follow without reflection
61;[outro]
63;
