D'humeur triste;
1;[intro]
9;J'étais là, devant la porte close du bonheur
11;Mais finalement, j'ai découvert une autre couleur
13;Car quand tout va mal, la meilleure thérapie
15;C'est de rire de soi, de voir la vie en décalé
17;C'est une chanson triste, mais je m'en fiche
19;Je trouve ça assez fascinant, parfois comique
21;Dans mes histoires loufoques, on perd les repères
23;Allez, prends ma main et laisse-toi guider par l'éphémère
25;[ … ]
29;Je me suis perdu dans un labyrinthe de chaussettes
31;J'ai marché sur des LEGO, ça fait plutôt mal, ma tête !
33;Mais au lieu de me plaindre, je préfère en rire
35;Car le rire est le meilleur moyen de survivre
37;C'est une chanson triste, mais je m'en fiche
39;Je trouve ça assez fascinant, parfois comique
41;Dans mes histoires loufoques, on perd les repères
43;Allez, prends ma main et laisse-toi guider par l'éphémère
45;[ solo ]
53;Alors voilà ma chanson triste, pleine de folie
55;Pour alléger ton fardeau, même pour une nuit
57;Car dans ce monde parfois sombre, on a besoin de rire
59;Et je serai la chanteuse du bonheur, prête à t'offrir ce délire
61;[outro]
63;
