Le bordel ambulant;
1;[intro]
9;In the morning, I search for my sock
11;Spill my coffee, oh what a shock!
13;I love getting lost in this joyful mess
15;My house is a museum where nothing is at rest
17;In my life, it's all chaos
19;No need to tidy up, it's real, no loss
21;I live my life, not seeking perfect order
23;A walking mess, I embrace with no border
25;[ … ]
29;"My friends shout, ""Clean your room, make an effort!"""
31;But I prefer leaving my treasures out of sort
33;In this joyful clutter, I find my muse
35;And write songs full of playful cues
37;Cause I'm the king of chaos
39;A brain in turmoil, nothing in place, it's a plus
41;A true artist in my thrilling life
43;The walking mess, my trademark without strife
45;[ solo ]
53;So let me live my life in a messy mode
55;With my walking mess, I'm always in the right code
57;I dance among scattered things
59;Letting wild thoughts bring me blissful flings
61;[ outro ]
63;
