Dopamine addiction;
1;[intro]
9;In my life, there are all these constraints
11;But I find escape in my little machines
13;Connected to my phone, I'm in my zone
15;These notifications give me chills, I'm not alone
17;Dopamine, dopamine, I feel it vibrate
19;When I hear my phone ring, it’s my fate
21;Dopamine, dopamine, it makes me soar
23;These little gadgets, I’ll never ignore
25;[ … ]
29;On the subway, I don't lift my head
31;My virtual world is more fun, more dead
33;Swipe right, swipe left, it keeps me amused
35;Who needs real connections when I'm so used?
37;Dopamine, dopamine, I feel it vibrate
39;When I hear my phone ring, it’s my fate
41;Dopamine, dopamine, it makes me soar
43;These little gadgets, I’ll never ignore
45;[ solo ]
53;Dopamine, dopamine, I need the rush
55;But I don't want to lose in this sad hush
57;Dopamine, dopamine, I take a step back
59;To live my real life, more vibrant, on track
61;[outro]
63;
