J'aime jouer au squash;
1;[intro]
9;J'aime jouer au squash dans ma petite salle
11;Avec ma raquette, je suis un vrai bal
13;Les rebonds, les volées, ça me rend fou
15;Mais dans ce jeu, je me sens toujours mou
17;Je lance la balle contre le mur
19;Je la frappe, elle part en coup sûr
21;Mais quand je rate, quel désarroi
23;Le squash me rend parfois pas très droit
25;[ … ]
29;Je cours de gauche à droite, je suis agile
31;Les adversaires me trouvent très futile 
33;Mais je m'en fiche, je suis là pour m'amuser
35;Dans mon short fluo, ça va détonner
37;Je lance la balle contre le mur
39;Je la frappe, elle part en coup sûr
41;Mais quand je rate, quel désarroi
43;Le squash me rend parfois pas très droit
45;[ solo ]
53;Alors si la vie te rend un peu morose
55;Viens jouer au squash, ça décongestionne les névroses
57;On s'amuse, on rit, toujours dans l'excès
59;Le squash, c'est le remède à tous les stress
61;[outro]
63;
