Le bal des passants;
1;[intro]
9;Dans le métro bondé, ça danse sous terre
11;Les danseurs improvisés, les mouvements éphémères
13;Les gens pressés, les corps entremêlés
15;C'est un spectacle hilarant, je ne peux m'empêcher de me moquer
17;Au bal des passants, je suis emballé
19;Par leur allure folle et leur intrigant secret
21;Au bal des passants, je suis attiré
23;Par leurs histoires comiques, c'est mon obsédé
25;[ … ]
29;Sur les bancs publics, y'a des rendez-vous
31;Des amoureux maladroits, qui se font des mamours
33;Les dragueurs affamés, qui ne font que draguer
35;C'est un véritable zoo, je me régale sans arrêt
37;Au bal des passants, je suis emballé
39;Par leur allure folle et leur intrigant secret
41;Au bal des passants, je suis attiré
43;Par leurs histoires comiques, c'est mon obsédé
45;[ solo ]
53;Au bal des passants, je suis emballé
55;Par leur allure folle et leur intrigant secret
57;Au bal des passants, je suis attiré
59;Par leurs histoires comiques, c'est mon obsédé
61;[outro]
63;
