Se laisser porter par la vie;
1;[intro]
9;Je tourne en rond, j'me perds dans les choix à faire
11;Entre les chemins tracés, je ne sais lequel préférer
13;Un jour j'veux être pilote, un jour j'veux être pirate
15;Je ne peux pas me décider, ça ne fait que m'exciter
17;Je laisse les options ouvertes, j'sais pas c'que l'avenir me réserve
19;Je jongle entre les possibilités, jusqu'au dernier moment je préserve
21;Le destin me surprendra, c'est sûr, j'sais pas où je vais atterrir
23;Laissons-nous porter par la vie, dans ce monde où tout peut surgir
25;[ … ]
29;J'ai essayé d'être sérieux, d'avoir un plan bien tracé
31;Mais la vie m'a toujours réservé des détours inattendus
33;Alors pourquoi se prendre la tête, se mettre des chaînes aux pieds
35;Je préfère garder mes options ouvertes, être libre et inspiré
37;Je laisse les options ouvertes, j'sais pas c'que l'avenir me réserve
39;Je jongle entre les possibilités, jusqu'au dernier moment je préserve
41;Le destin me surprendra, c'est sûr, j'sais pas où je vais atterrir
43;Laissons-nous porter par la vie, dans ce monde où tout peut surgir
45;[ solo ]
53;La vie est trop courte pour se brider, pour se restreindre
55;Alors suivons nos envies, laissons l'imprévu nous étreindre
57;Car dans cette danse du hasard, il ne faut jamais se restreindre
59;Laissons les options ouvertes, jusqu'au dernier moment je préconise
61;[outro]
63;
