Un soir au bistrot;
1;[intro]
9;Assis au comptoir, je bois ma mélancolie,
11;Les verres s'accumulent, en écho de mon dépit,
13;Les rires fusent, mais mon cœur perd son élan,
15;Je cherche l'inspiration, ce soir, en vain.
17;Un soir au bistrot, la vie tristounette,
19;Des rires égarés et des verres en fête,
21;Dans ce lieu tamisé, aux éclats des regards,
23;C'est là que je trouve ma chanson, mon art.
25;[ … ]
29;Les serveurs pressés, les amours délaissées,
31;Les regards fuyants, dissimulés sous l'excès,
33;Mais moi, je rêve d'un bonheur décalé,
35;"Dans ce bistrot, où tout est permis, tout est ""zigzaguant""."
37;Un soir au bistrot, l'esprit qui se démène,
39;Les ivrognes chancelants, la vie qui se déchaîne,
41;Dans ces murs anonymes, j'y cherche un chemin,
43;Un instant de vraie folie, un doux refrain.
45;[ solo ]
53;Un soir au bistrot, l'âme un peu frivole,
55;Le vin qui coule à flots, l'espoir qui s'envole,
57;Dans ces conversations légères, mon cœur s'éveille,
59;Je chante ma tristesse, ma joie sans pareille.
61;[outro]
63;
