La polémique;
1;[intro]
9;Je suis un chanteur plein d'humour,
11;Je laisse la polémique dans son détour,
13;Mon but c'est de faire rire et danser,
15;Les soucis, on va les oublier.
17;La polémique, c'est pas ma vibe,
19;Dans la musique, je trouve l'harmonie,
21;Je préfère les blagues et les sourires,
23;Venez dans mon monde, le plaisir est à venir.
25;[ … ]
29;Je chante pour mettre le bonheur en avant,
31;Rire ensemble, c'est un moment charmant,
33;Les critiques, je les laisse de côté,
35;Les gens viennent me voir pour s'amuser.
37;La polémique, c'est pas mon truc,
39;Mon public, je veux qu'il s'éclate et rebondisse,
41;On ne va pas se prendre au sérieux,
43;La légèreté, c'est mon credo, c'est mieux.
45;[ solo ]
53;La polémique, c'est pas ma vibe,
55;Dans la musique, je trouve l'harmonie,
57;Je préfère les blagues et les sourires,
59;Venez dans mon monde, le plaisir est à venir.
61;[outro]
63;
