Le désordre;
1;[intro]
9;Ma chambre est un vrai bazar
11;Des habits partout, ça ne se range pas
13;Mes chaussettes n'ont aucune paire
15;Mais je les porte quand même, c'est ma manière
17;Dans le désordre, je me perds
19;Tout est embrouillé, ça me fait rire
21;Le chaos, c'est ma façon de vivre
23;Je suis un joyeux désordre, oh oh
25;[ … ]
29;Mon emploi du temps est incompréhensible
31;J'oublie mes rendez-vous, c'est invraisemblable
33;Mais peu importe, je suis toujours de bonne humeur
35;Car dans le désordre, il y a de la couleur
37;Dans le désordre, je me perds
39;Tout est embrouillé, ça me fait rire
41;Le chaos, c'est ma façon de vivre
43;Je suis un joyeux désordre, oh oh
45;[ solo ]
53;Alors laissez-moi être moi-même
55;Dans le désordre, je suis suprême
57;Je m'épanouis dans ce doux désordre
59;Et je chante ma chanson sans remord
61;[outro]
63;
