Le mauvais goût;
1;[intro]
9;Dans ce monde superficiel, ça me chagrine
11;Le mauvais goût, c'est l'épidémie en mine
13;Tout le monde court après les tendances
15;Mais moi, je préfère briser les apparences
17;Je danse avec le mauvais goût, oh ouais
19;Je m'amuse avec les clichés, hé hé
21;Car dans ce monde fade et monotone
23;Le rire est ma couronne
25;[ … ]
29;La mode, c'est un peu comme du cirque
31;On s'habille de couleurs aciduliques
33;Les fringues criardes, j'en ai le vertige
35;Mais ça me fait rire, moi ça me corrige
37;Je danse avec le mauvais goût, oh ouais
39;Je m'amuse avec les clichés, hé hé
41;Car dans ce monde fade et monotone
43;Le rire est ma couronne
45;[ solo ]
53;Je danse avec le mauvais goût, oh ouais
55;Je m'amuse avec les clichés, hé hé
57;Car dans ce monde fade et monotone
59;Le rire est ma couronne
61;[outro]
63;
