Tout le monde s'en fou;
1;[intro]
9;Dans ce monde plein de fous
11;Chacun crie plus fort que tout
13;Mais personne ne veut s'entendre
15;Ça devient un vrai capharnaüm à comprendre
17;Les gens ne supportent pas de ne pas être d'accord
19;Ils préfèrent se chamailler et crier plus fort
21;Mais moi je dis, peu m'importe tout ça
23;Car au final, tout le monde s'en fou-tu-tu-tu-tu
25;[ … ]
29;Sur les réseaux sociaux, les avis fusent
31;Les débats sont vifs, les esprits s'excusent
33;Mais moi, je préfère rire de ces querelles sans fin
35;Car la vie est trop courte pour se prendre la tête, enfin
37;Les gens ne supportent pas de ne pas être d'accord
39;Ils se lancent des mots, se lancent des sorts
41;Mais moi je dis, peu m'importe tout ça
43;Car au final, tout le monde s'en fou-tu-tu-tu-tu
45;[ solo ]
53;Les gens ne supportent pas de ne pas être d'accord
55;Mais moi je préfère laisser couler ces remords
57;Car au final, tout le monde s'en fou-tu-tu-tu-tu
59;Alors dansons, chantons, et oublions tous nos disputes
61;[outro]
63;
