Les idées réflexes;
1;[ intro ]
9;I’ve got reflex thoughts, oh my, oh my
11;In my head, it’s a constant high
13;I think about everything, all the time
15;But my thoughts just go in a crazy rhyme
17;Reflex thoughts, they drive me mad
19;I'm stuck in my own hazy fog
21;My neurons do wild somersaults
23;But my life’s a mess, it's a crazy blog
25;[ … ]
29;I spend my days just thinking
31;About things that don’t mean a thing, I'm sinking
33;I think of the color of my socks
35;And the sum of angles in an isosceles block
37;Reflex thoughts, they drive me mad
39;I'm a prisoner in my own head
41;I’m tired of these thoughts in a loop
43;They exhaust me, make me a complete coop
45;[ solo ]
53;Reflex thoughts, they make me laugh
55;Even if they drive me a bit daft
57;I'd rather laugh than shed a tear
59;It's my way out, to make it clear
61;[ outro ]
63;
