Pas grave, mais c'est dommage;
1;[intro]
9;J'tombe en glissant sur une peau de banane
11;Mais j'me relève, sans une larme, sans une gêne
13;Mes cheveux sont en désordre, j'ai l'air d'une fana
15;Mais j'assume, c'est ça mon aura, ma scène
17;C'est dommage, c'est pas grave
19;La vie est une blague, faut qu'on s'amuse
21;Tous ces problèmes, on les brave
23;Dans cette chanson, on les abuse
25;[ … ]
29;J'perds mes clés chaque matin, c'est une habitude
31;Mais c'est pas grave, j'invente une porte magique
33;Un sourire éclatant, je garde ma certitude
35;Que les petits bobos ne sont que des jeux ludiques
37;C'est dommage, c'est pas grave
39;La vie est une blague, faut qu'on s'amuse
41;Tous ces problèmes, on les brave
43;Dans cette chanson, on les abuse
45;[ solo ]
53;C'est dommage, c'est pas grave
55;J'me moque du destin qui se trame
57;On met de côté nos soucis et nos entraves
59;Parce que la vie, c'est juste un joyeux vacarme
61;[outro]
63;
