Le thé, un plaisir ignoré;
1;[intro]
9;In a cup, the infusion’s made,
11;Leaves blend, a sweet scent displayed,
13;A solemn moment, a ritual parade,
15;Tea isn’t rock ‘n’ roll, but it’s well-played.
17;Tea, it’s not sexy, it's true,
19;Yet it warms us with each brew,
21;Forget the bias, let it woo,
23;Tea, an ignored delight, it needs its due.
25;[ … ]
29;In vibrant hues, green or black,
31;It caresses lips, we keep coming back,
33;A potent remedy, with health in its track,
35;Tea, no one should lack.
37;Tea, it’s not sexy, it's true,
39;Yet it warms us with each brew,
41;Forget the bias, let it woo,
43;Tea, an ignored delight, it needs its due.
45;[ solo ]
53;Tea is good, there’s no doubt,
55;Despite its calm image, it makes us shout,
57;Open your mind, drink it all out,
59;Tea, we adore, can't live without!
61;[ outro ]
63;
