La liqueur de gingembre;
1;[intro]
9;Dans mon verre, j'ai mis du gingembre,
11;Un goût amer qui me fait tendre.
13;Je bois, je bois, sans rien comprendre,
15;La liqueur de gingembre, elle me détend.
17;La liqueur de gingembre, ah quelle splendeur,
19;Elle me donne des ailes, elle me fait planer.
21;La liqueur de gingembre, elle fait mon bonheur,
23;Mais je ris, je pleure, et je ne peux m'arrêter.
25;[ … ]
29;Dans mes rêves, tout est en désordre,
31;Le gingembre a fait son propre accord.
33;Je marche, je tombe, je bats des records,
35;La liqueur de gingembre, elle me transporte.
37;La liqueur de gingembre, je ne peux résister,
39;Elle me fait oublier tous mes soucis.
41;La liqueur de gingembre, quand elle me hante,
43;Je ris, je chante, et je me sens en vie.
45;[ solo ]
53;La liqueur de gingembre, je t'aimerai toujours,
55;Avec toi, je suis libre, sans aucun détour.
57;La liqueur de gingembre, dans mon cœur et mes mots,
59;Je danse, je chante, et je m'envole en solo.
61;[outro]
63;
