Les livres inachevés;
1;[intro]
9;Commence un roman, rempli d'excitation
11;Les personnages s'animent, prennent vie dans ma vision
13;Mais bientôt je m'égare, je perds la concentration
15;Les mots se floutent, me perdent dans leur confusion
17;Je ne finis jamais les livres
19;Mon attention dévie, mon esprit se perd
21;Les pages se ferment sans qu'j'les délivre
23;Les fins m'échappent, je suis un mystère
25;[ … ]
29;Les intrigues se multiplient, les émotions s'enchaînent
31;Mais voilà, une distraction et tout s'envole dans l'air 
33;Je promets de revenir, de finir avant demain 
35;Mais le lendemain arrive, et les livres restent en vain
37;Je ne finis jamais les livres
39;Mon attention dévie, mon esprit se perd
41;Les pages se ferment sans qu'j'les délivre
43;Les fins m'échappent, je suis un mystère
45;[ solo ]
53;Alors je reste là, avec ma collection de l'incomplet
55;Les livres inachevés, des énigmes en secret
57;Car dans ma tête, chaque page attend d'être lu
59;Mais pour l'instant, je suis perdu dans le monde imaginé
61;[outro]
63;
