Engagement pas obligé;
1;[intro]
9;J'ai pas envie de changer le monde
11;Je suis là pour faire rigoler tout le monde
13;Dans ma bulle, je m'amuse comme un fou
15;L'engagement, c'est pas pour les fous
17;Engagement, c'est pas mon truc
19;Je préfère la vie en tournicot
21;Dans mes chansons, je suis un clown
23;Engagement, c'est pour les moutons
25;[ … ]
29;Les politiciens, ils me font rire
31;Avec leurs discours qui font souffrir
33;Moi, je préfère faire des pirouettes
35;Faire rire les gens, c'est ma quête secrète
37;Engagement, c'est pas mon truc
39;Je préfère la vie en tournicot
41;Dans mes chansons, je suis un clown
43;Engagement, c'est pour les moutons
45;[ solo ]
53;Engagement, c'est pas mon truc
55;Je préfère la vie en tournicot
57;Dans mes chansons, je suis un clown
59;Engagement, c'est pour les moutons
61;[outro]
63;
