Les critiques;
1;[intro]
9;I feel weird today
11;When I listen to the critics, I smile
13;People say things, but I don't care
15;We get few negative comments in general
17;It makes you laugh, it makes you smile
19;Critics can't destroy us
21;We mock them, it doesn't matter
23;We get few negative comments in general
25;[ … ]
29;In their world of slander
31;I stay on my own frequency
33;Bitter words, they fade away
35;We get few negative comments in general
37;It makes you laugh, it makes you smile
39;Critics can't destroy us
41;We mock them, it doesn't matter
43;We get few negative comments in general
45;[ solo ]
53;It makes you laugh, it makes you smile
55;Critics can't destroy us
57;We mock them, it doesn't matter
59;We get few negative comments in general
61;[outro]
63;
