La vie en indécision;
1;[intro]
9;In my head, it's always a blur
11;I take the big leap, but I lose the taste
13;Between yes and no, it's indecision
15;I move forward gropingly, in this confusion
17;It's complicated, I'm sorry
19;Sometimes I'm lost, I have no opinion
21;Life is like that, I didn't choose
23;I dance to the rhythm of my hesitations
25;[ … ]
29;The choices are many, but I'm stuck
31;I change my mind every time I'm questioned
33;I try to understand, to find my way
35;But I'm lost, like a fish in water
37;It's complicated, I'm sorry
39;Sometimes I'm lost, I have no opinion
41;Life is like that, I didn't choose
43;I dance to the rhythm of my hesitations
45;[ solo ]
53;And there you have it, my friends, that's life in indecision
55;You can never be sure of anything, can you?
57;Come on, let's dance!
59;Life is too short to take too seriously.
61;[ outro ]
63;
