Le monde des futilités;
1;[intro]
9;In my closet, sparkly clothes
11;Colorful shoes, even if it's not quite right
13;I don't care about the look, the ultimate elegance
15;I just want to be funky, no fashion prime
17;I want to talk about trivialities
19;Let's forget worries and realities
21;When life becomes too sad and dull
23;I take refuge in the world of trivialities
25;[ … ]
29;On my couch, I zap non-stop
31;Stupid shows to forget regrets
33;When reality becomes too overwhelming
35;I disconnect, I escape into my vibrant bubble
37;In my world, we talk about trivialities
39;Useless gadgets and frivolity
41;When problems pile up, life treats us badly
43;I dive into the world of trivialities
45;[ solo ]
53;I want to talk about trivialities
55;Let's forget worries and realities
57;When life becomes too sad and dull
59;I take refuge in the world of trivialities
61;[ outro ]
63;
