Qui suis-je vraiment?;
1;[intro]
9;Je suis né dans une petite ville, c'est vrai
11;Où tout le monde se connaît, du moins j'croyais
13;Mais au fond de moi, une flamme brûlait
15;Envie de faire rire, envie de divertir, je m'éclatais
17;Qui suis-je vraiment, oh là là
19;Qu'est-ce qui façonne mon identité, ou là là
21;Dans ce monde un peu fou, là là
23;Je cherche ma place, ou là là
25;[ … ]
29;J'ai pris ma guitare, et je suis parti
31;Sur les routes, à la conquête de la vie
33;J'ai rencontré des gens, des sourires infinis
35;Me suis construit un univers où j'me sens épanoui
37;Qui suis-je vraiment, oh là là
39;Qu'est-ce qui façonne mon identité, ou là là
41;Dans ce monde un peu fou, là là
43;Je cherche ma place, ou là là
45;[ solo ]
53;Qui suis-je vraiment, oh là là
55;Qu'est-ce qui façonne mon identité, ou là là
57;Dans ce monde un peu fou, là là
59;Je cherche ma place, ou là là
61;[outro]
63;
