Perdu dans ma tête;
1;[intro]
9;I dream of unicorns and popcorns
11;In my universe, everything is out of the norm
13;I laugh alone, without reason
15;Lost in my head, it's my diversion
17;I get lost in my head, it's cool
19;In my thoughts, I do somersaults
21;Life is weird, but I don't care
23;Lost in my head, I'm a gentle fool
25;[ … ]
29;People look at me, find me strange
31;But I am myself, without trying to affirm
33;I'm a clown, a real joker
35;Lost in my head, I have no fear
37;I get lost in my head, it's fun
39;In my delusions, I'm number one
41;I dance with my whimsical ideas
43;Lost in my head, I'm happy
45;[ solo ]
53;I get lost in my head, it's cool
55;In my thoughts, I do somersaults
57;Life is weird, but I don't care
59;Lost in my head, I'm a gentle fool
61;[outro]
63;
