Médiocrité;
1;[intro]
9;I woke up on the wrong side of the bed
11;The coffee was too cold, I messed up instead
13;I broke my mirror, they say it's bad luck
15;But it's alright, it's my time, not stuck
17;Doesn’t matter if it’s bad, critics be damned
19;I'm not here to please them, I want to be grand
21;It's my life, my quirks, my laughs, my heart’s delight
23;Doesn’t matter if it’s bad, as long as we have fun tonight
25;[ … ]
29;I tried to cook some pasta, you see
31;But forgot to add water, what a funny spree
33;My cat ate my favorite shoes today
35;But it's alright, I'll buy new ones, yay
37;Doesn’t matter if it’s bad, critics be damned
39;I'm not here to please them, I want to be grand
41;It's my life, my quirks, my laughs, my heart’s delight
43;Doesn’t matter if it’s bad, as long as we have fun tonight
45;[ solo ]
53;Oh oh oh, oh oh oh
55;Doesn’t matter if it’s bad
57;Oh oh oh, oh oh oh
59;Doesn’t matter if it’s bad
61;[outro]
63;
