Oublions les chagrins;
1;[intro]
9;I was sad and lost in my life,
11;A broken heart, alone in boredom.
13;But I decided to smile, to have fun,
15;Why mope, better to laugh about it!
17;If you own it, it's no longer bad taste,
19;Let's forget the sorrows, come on, let's be crazy!
21;Let's dance and sing, let's party endlessly,
23;Because it's in laughing that we find happiness, finally!
25;[ … ]
29;People look at me strangely,
31;But I don't care, I'm different.
33;I dare to be myself, with all my madness,
35;Life is too short, might as well enjoy it!
37;If you own it, it's no longer bad taste,
39;Let's forget the sorrows, come on, let's be crazy!
41;Let's dance and sing, let's party endlessly,
43;Because it's in laughing that we find happiness, finally!
45;[ solo ]
53;If you own it, it's no longer bad taste,
55;Let's forget the sorrows, come on, let's be crazy!
57;Let's dance and sing, let's party endlessly,
59;Because it's in laughing that we find happiness, finally!
61;[ outro ]
63;
