Le paradoxe bordélique;
1;[intro]
9;Le matin je me lève plein d'énergie
11;Je cours partout, je n'ai jamais ennui
13;Mes chaussettes sont roses, mes chaussures en vrac
15;Mon dressing est un champ de bataille éclaté
17;Je suis bordélique, oh oui c'est vrai
19;Mais mon désordre, c'est ma fierté
21;Je cherche le chaos dans ma vie parfaite
23;Le paradoxe est ma quête
25;[ … ]
29;Je fais des listes, j'organise mes journées
31;Mais je m'éparpille, je me perds dans mes idées
33;Mes papiers s'accumulent, mes dossiers sont perdus
35;Mon bureau est un chaos où je me sens éperdue
37;Je suis perfectionniste, ça me démange
39;Mais pour ranger, je préfère le mélange
41;Mes colliers s'emmêlent, mes tiroirs débordent
43;Dans mon univers, l'ordre est en désaccord
45;[ solo ]
53;Je suis bordélique, oh oui c'est vrai
55;Mais mon désordre, c'est ma fierté
57;Je cherche le chaos dans ma vie parfaite
59;Le paradoxe est ma quête
61;[outro]
63;
