Cinéma passion;
1;[intro]
9;I am addicted to dark rooms, to flickering lights
11;To the sound of the projector, my heart beats, it stirs
13;Crazy comedies, fantastic sagas
15;Cinema is my drug, it's fantastic
17;I am a cinephile, I watch the old stacks
19;The classics in black and white, they make me so happy
21;Funny and touching movies, I've seen thousands
23;It's my passion, my reason to shine
25;[ … ]
29;I am always in front of the screen, eyes wide open
31;Emotions are jostling, I am transported
33;Great actors, explosive dialogues
35;I laugh, I cry, I intensely live each fictional scene
37;I am a cinephile, I watch the old stacks
39;The classics in black and white, they make me so happy
41;Funny and touching movies, I've seen thousands
43;It's my passion, my reason to shine
45;[ solo ]
53;I am a cinephile, I watch the old stacks
55;The classics in black and white, they make me so happy
57;Funny and touching movies, I've seen thousands
59;It's my passion, my reason to shine
61;[ outro ]
63;
