Trop facile;
1;[intro]
9;Je fais semblant de pleurer
11;Mais ça, je suis habitué
13;Je cache mes vrais sentiments
15;Derrière ce masque insolent
17;Je trouve ça un peu facile
19;De jouer les grands fragiles
21;A pleurer toutes les larmes de son corps
23;Mais personne ne me croit
25;[ … ]
29;Je ris devant les caméras
31;Mais au fond, je suis pas là
33;Je suis perdu, seul dans ma tête
35;Personne pour m'écouter, pour m'arrêter
37;C'est trop facile de me juger
39;"De me dire ""t'es pas assez assumé"""
41;Mais personne ne connaît la vérité
43;Qui se cache dans mes pensées
45;[ solo ]
53;Allez, tous ensemble maintenant
55;Laissez-moi vous montrer qui je suis vraiment
57;Je ne suis qu'un fou qui joue son rôle
59;Mais au fond, j'ai juste besoin d'un peu d'amour.
61;[outro]
63;
