La vie en pyjama;
1;[intro]
9;Je me réveille chaque matin, les yeux encore endormis
11;La flemme me tient dans ses bras, impossible de me lever d'ici
13;J'enfile mon pyjama, je m'installe dans mon lit douillet
15;La vie est trop courte pour se presser, je préfère rêvasser aux mille et une folies
17;La vie en pyjama, c'est tout ce que je veux
19;Sous la couette, bien au chaud, je suis heureux
21;Paresseux, tire-au-flanc, c'est ma philosophie
23;Je suis le roi de la fainéantise, vive la vie en pyjama, oui oui
25;[ … ]
29;Mes amis me critiquent, ils disent que je suis trop feignant
31;Mais je m'en moque, je suis bien dans mon petit cocon indulgent
33;Je regarde les heures passer, les tâches s'accumuler
35;Mais je reste ici, dans mon pyjama, à me laisser aller
37;La vie en pyjama, c'est tout ce que je veux
39;Sous la couette, bien au chaud, je suis heureux
41;Paresseux, tire-au-flanc, c'est ma philosophie
43;Je suis le roi de la fainéantise, vive la vie en pyjama, oui oui
45;[ solo ]
53;Alors rejoins-moi, laisse tes soucis derrière
55;En pyjama, on se laisse porter par l'air léger
57;La vie est parfois trop sérieuse, tu le sais bien
59;Alors viens, amusons-nous, dansons sous la lune et oublions nos chagrins
61;[outro]
63;
