La fausse note;
1;[intro]
9;Je suis un phénomène, un vrai cas désespéré
11;Quand je m'élance sur scène, c'est pour tout casser
13;Mes vocalises font peur à tous les chats du quartier
15;Mais je m'en moque, je veux juste vous faire danser
17;Tout le monde dit que je chante faux
19;Mais je m'en fiche, moi je suis rigolo
21;Même si les oreilles saignent, je m'éclate en show
23;Je suis le roi de la fausse note, eh oh!
25;[ … ]
29;Quand je respire, c'est comme un ouragan
31;Et quand je chante, c'est un vrai tremblement
33;Mes voisins me supplient d'arrêter, c'est navrant
35;Mais je persiste, je suis un vrai talent
37;Je chante comme une casserole, c'est une certitude
39;Mais je m'amuse comme un fou, c'est ma quiétude
41;Quand je vois les gens rigoler, c'est ma gratitude
43;Je balance ma fausse note avec exactitude
45;[ solo ]
53;Tout le monde dit que je chante faux
55;Mais je m'en fiche, moi je suis rigolo
57;Même si les oreilles saignent, je m'éclate en show
59;Je suis le roi de la fausse note, eh oh!
61;[outro]
63;
