Une chanson pas si triste;
1;[intro]
9;Dans cette chanson triste, je vais vous raconter
11;Que les mots n'ont pas besoin de se justifier
13;Ici, je vais vous faire rire sans argumentation
15;Car la musique est ma seule motivation
17;Une chanson sans arguments, juste pour rire un instant
19;Une mélodie légère, pour oublier tous les tourments
21;Chantez avec moi, laissez-vous emporter
23;Dans ce monde joyeux que j'ai créé
25;[ … ]
29;Je vais vous conter des histoires absurdes
31;Des anecdotes folles qui vont vous surprendre
33;Les situations cocasses, les quiproquos hilarants
35;C'est ça le secret, le pouvoir de l'instant
37;Une chanson sans arguments, juste pour rire un instant
39;Une mélodie légère, pour oublier tous les tourments
41;Chantez avec moi, laissez-vous emporter
43;Dans ce monde joyeux que j'ai créé
45;[ solo ]
53;Alors voilà, cette chanson se termine
55;Mais le rire restera, car il est si vite contagieux
57;Souvenez-vous, la musique est libératrice
59;Et dans l'absurdité, on trouve la grandeur de la vie
61;[outro]
63;
