Histoire de contexte;
1;[intro]
9;Ya pas d'raison de se laisser abattre,
11;Même quand dans la vie ça part en vrille,
13;On va prendre ça à la légère, sans se battre,
15;On va faire tourner les têtes, comme une vrille!
17;Dans ce monde étrange où tout est obscur,
19;J'me demande souvent, c'est quoi le contexte sûr ?
21;C'est un vrai casse-tête, une énigme à résoudre,
23;Mais tout en musique, on va tout dissoudre!
25;[ … ]
29;Certains disent qu'il faut être sérieux,
31;Mais moi j'préfère l'humour, c'est bien plus précieux,
33;On va faire rire les gens, même dans l'adversité,
35;Avec des blagues, des jeux de mots qui font péter!
37;Dans ce monde étrange où tout est obscur,
39;J'me demande souvent, c'est quoi le contexte sûr ?
41;C'est un vrai casse-tête, une énigme à résoudre,
43;Mais tout en musique, on va tout dissoudre!
45;[ solo ]
53;Alors, on laisse le passé derrière nous,
55;On avance avec légèreté, sans remous,
57;On va croquer la vie, comme une pomme caramélisée,
59;Et faire danser les cœurs avec nos mélodies colorées!
61;[outro]
63;
