La liberté;
1;[intro]
9;Je me suis levé ce matin, un peu triste dans mon âme
11;Le monde autour de moi, me rendait tout en blâme
13;Je me suis dit, faut trouver une nouvelle destinée
15;C'est une question de liberté, oh oh yeah
17;Liberté, quelle belle idée
19;Plus de limites, plus de chaînes attachées
21;Je veux voler haut, comme un papillon coloré
23;C'est une question de liberté, oh oh yeah
25;[ … ]
29;Dans ma petite voiture, je suis parti sur la route
31;J'ai rencontré des gens, des beaux et des toutes
33;Mais à chaque stop, j'en profitais pour rêver
35;C'est une question de liberté, oh oh yeah
37;Liberté, quelle belle idée
39;Plus de limites, plus de chaînes attachées
41;Je veux voler haut, comme un papillon coloré
43;C'est une question de liberté, oh oh yeah
45;[ solo ]
53;Et si un jour, je deviens célèbre
55;Je danserai sur la scène avec ma guitare enrubannée
57;"Et tout le monde dira: ""Cet artiste est né!"""
59;C'est une question de liberté, oh oh yeah
61;[outro]
63;
